iter	RMSE
0	8106823.183
1	7599756.256
2	7133012.239
3	6715189.261
4	6332010.135
5	6009924.064
6	5716756.328
7	5444837.366
8	5213024.398
9	4987448.832
10	4792848.132
11	4613637.665
12	4452632.29
13	4300082.773
14	4168788.444
15	4030686.411
16	3922572.978
17	3817079.597
18	3742697.657
19	3663532.412
20	3584813.638
21	3503739.12
22	3436360.137
23	3378734.925
24	3326755.098
25	3277365.082
26	3227775.859
27	3165926.437
28	3114936.544
29	3065997.998
30	3018504.371
31	2973190.971
32	2936615.389
33	2902039.314
34	2861979.468
35	2834748.661
36	2801988.953
37	2772552.936
38	2740879.456
39	2716472.976
40	2690683.817
41	2663222.31
42	2641481.209
43	2619867.376
44	2598928.563
45	2578304.125
46	2559125.179
47	2543486.498
48	2524093.518
49	2507528.107
50	2485486.113
51	2469403.384
52	2450531.209
53	2431099.203
54	2415850.587
55	2401469.358
56	2389170.769
57	2375930.538
58	2363565.794
59	2349169.204
60	2336773.204
61	2324952.219
62	2314014.838
63	2299785.848
64	2289119.826
65	2276484.261
66	2259244.537
67	2247403.051
68	2232292.899
69	2222808.756
70	2207573.058
71	2197598.227
72	2187969.2
73	2178353.272
74	2168690.559
75	2157852.861
76	2147602.63
77	2138838.348
78	2129921.533
79	2123195.173
80	2111212.027
81	2100096.091
82	2091555.962
83	2078707.879
84	2067914.924
85	2061385.545
86	2052725.488
87	2044381.704
88	2035733.316
89	2025491.215
90	2017026.706
91	2006748.457
92	2001062.001
93	1993867.96
94	1988453.697
95	1982197.356
96	1975157.123
97	1965382.513
98	1959153.564
99	1951081.446
100	1945645.326
101	1938057.489
102	1929163.702
103	1922186.004
104	1916389.602
105	1910061.907
106	1904101.882
107	1895614.759
108	1890827.156
109	1883713.775
110	1878130.67
111	1871661.954
112	1864260.735
113	1859515.156
114	1854365.961
115	1848213.375
116	1842950.076
117	1835527.401
118	1830326.33
119	1825881.004
120	1817367.39
121	1811867.888
122	1804000.776
123	1799196.285
124	1794810.648
125	1790066.05
126	1784617.566
127	1777243.547
128	1771197.474
129	1766130.043
130	1761821.374
131	1756940.588
132	1752019.103
133	1748006.65
134	1743137.018
135	1738238.643
136	1731277.736
137	1727285.997
138	1724037.787
139	1719495.043
140	1714917.785
141	1711510.45
142	1706220.691
143	1702299.77
144	1697457.607
145	1692550.483
146	1688539.121
147	1683609.575
148	1678722.274
149	1674911.469
150	1671312.439
151	1667640.284
152	1661474.057
153	1656880.043
154	1653374.878
155	1649166.906
156	1644388.962
157	1640472.641
158	1636352.627
159	1631502.176
160	1627330.233
161	1623457.147
162	1619534.141
163	1615070.436
164	1610383.58
165	1606633.461
166	1602647.302
167	1597737.114
168	1593112.246
169	1589950.253
170	1585689.382
171	1581590.458
172	1577999.222
173	1574413.828
174	1571658.65
175	1568009.669
176	1564293.724
177	1560787.62
178	1556743.969
179	1552358.193
180	1549028.932
181	1545830.459
182	1542571.579
183	1538903.289
184	1534021.28
185	1531194.809
186	1527486.043
187	1524311.289
188	1521876.083
189	1518108.967
190	1515022.221
191	1512278.897
192	1508908.889
193	1505940.744
194	1502784.964
195	1499848.435
196	1497266.239
197	1494071.126
198	1491579.859
199	1487955.324
200	1485219.435
201	1481904.453
202	1479580.565
203	1475458.207
204	1472376.725
205	1469984.446
206	1467894.53
207	1464980.682
208	1461529.711
209	1459213.675
210	1456396.998
211	1453069.134
212	1450571.252
213	1446569.637
214	1444142.083
215	1441363.388
216	1439106.626
217	1436274.348
218	1433618.981
219	1430581.595
220	1428154.2
221	1425936.692
222	1423813.964
223	1421050.204
224	1418317.99
225	1414892.038
226	1412108.079
227	1409256.278
228	1406394.264
229	1403488.122
230	1401447.401
231	1398435.652
232	1396247.028
233	1393528.877
234	1391460.255
235	1389092.096
236	1387008.096
237	1384544.611
238	1382973.45
239	1380924.1
240	1378697.669
241	1375872.031
242	1372939.61
243	1370300.226
244	1367851.663
245	1366119.188
246	1364197.962
247	1361216.384
248	1358367.363
249	1356128.292
250	1354295.679
251	1352068.871
252	1349993.615
253	1348127.718
254	1345901.937
255	1343808.399
256	1340901.238
257	1338824.17
258	1337099.047
259	1335324.883
260	1332725.982
261	1330953.23
262	1328793.728
263	1326979.394
264	1324825.59
265	1322304.792
266	1320891.206
267	1318713.677
268	1316536.776
269	1314186.616
270	1312727.734
271	1310844.63
272	1308858.358
273	1307345.669
274	1305486.701
275	1303944.165
276	1302354.962
277	1300736.73
278	1298383.232
279	1296334.149
280	1294708.587
281	1293194.934
282	1290520.794
283	1288368.075
284	1286639.993
285	1284812.864
286	1282745.097
287	1281309.965
288	1279200.431
289	1277695.843
290	1275899.131
291	1273843.499
292	1272075.268
293	1270138.471
294	1268347.797
295	1266422.922
296	1265007.736
297	1263116.761
298	1261560.509
299	1260109.394
300	1258497.694
301	1255730.145
302	1253874.357
303	1252730.716
304	1250933.404
305	1248930.658
306	1246586.983
307	1245073.127
308	1243295.185
309	1241811.059
310	1239983.405
311	1238086.011
312	1236435.9
313	1234778.06
314	1233062.964
315	1231796.459
316	1230235.269
317	1228614.969
318	1226999.824
319	1225471.766
320	1223994.835
321	1222613.037
322	1221178.647
323	1219579.572
324	1218162.282
325	1216727.689
326	1215646.261
327	1213637.861
328	1212273.149
329	1211216.303
330	1208913.513
331	1207468.453
332	1205923.711
333	1204674.786
334	1203119.269
335	1201581.425
336	1199977.209
337	1198036.28
338	1196483.646
339	1195299.795
340	1193653.938
341	1191893.916
342	1190490.428
343	1189149.1
344	1187550.736
345	1186231.999
346	1184680.879
347	1183397.888
348	1181960.111
349	1180574.493
350	1179303.202
351	1177300.766
352	1176152.726
353	1174897.301
354	1173473.986
355	1172345.814
356	1171050.82
357	1169512.215
358	1168060.251
359	1167251.804
360	1165745.225
361	1164331.254
362	1162900.116
363	1161817.428
364	1160474.767
365	1159024.571
366	1157892.533
367	1156477.384
368	1155059.272
369	1153892.661
370	1152933.088
371	1151675.854
372	1150585.207
373	1149516.883
374	1148264.527
375	1147138.267
376	1145906.046
377	1143846.818
378	1142196.144
379	1141253.47
380	1139823.866
381	1138391.612
382	1137244.075
383	1135690.928
384	1134437.743
385	1133496.665
386	1132564.029
387	1131357.731
388	1130052.317
389	1129001.991
390	1127400.309
391	1125877.125
392	1124696.259
393	1123504.463
394	1122053.241
395	1120800.833
396	1119721.327
397	1117687.468
398	1116187.094
399	1114896.738
400	1113545.604
401	1112655.902
402	1111484.674
403	1110410.05
404	1108799.362
405	1107757.664
406	1106777.678
407	1105612.046
408	1104564.073
409	1103431.623
410	1102124.338
411	1100764.605
412	1099635.623
413	1098754.533
414	1097650.528
415	1096382.312
416	1095301.2
417	1094158.971
418	1093156.389
419	1092249.125
420	1090847.672
421	1089370.826
422	1088272.361
423	1086987.412
424	1085721.838
425	1084235.664
426	1083265.025
427	1082424.321
428	1081343.271
429	1080356.329
430	1079158.182
431	1078145.893
432	1077135.369
433	1075979.646
434	1074757.035
435	1073369.344
436	1072324.41
437	1071156.138
438	1069986.704
439	1068966.71
440	1067958.878
441	1067052.623
442	1066154.748
443	1065353.121
444	1064546.475
445	1063589.966
446	1062659.135
447	1061751.885
448	1060305.04
449	1059309.297
450	1058339.701
451	1057382.268
452	1056387.742
453	1055470.286
454	1054573.364
455	1053616.307
456	1052462.764
457	1051542.173
458	1050449.289
459	1049599.586
460	1048716.696
461	1047265.713
462	1046328.627
463	1045189.716
464	1043587.655
465	1042695.598
466	1041362.706
467	1040303.386
468	1039541.588
469	1038663.571
470	1037473.743
471	1036497.932
472	1035701.292
473	1034642.394
474	1033709.719
475	1032933.415
476	1031990.223
477	1031159.517
478	1030024.079
479	1029221.002
480	1028551.013
481	1027304.041
482	1026193.762
483	1025245.8
484	1024522.381
485	1023376.578
486	1022603.454
487	1021344.575
488	1020244.119
489	1019396.074
490	1018450.281
491	1017397.416
492	1016673.321
493	1015834.616
494	1015024.45
495	1014314.141
496	1013527.608
497	1012756.004
498	1011820.55
499	1011125.029
