iter	Passed	Remaining
0	24	12250
1	48	12002
2	74	12277
3	98	12175
4	122	12102
5	146	12046
6	169	11905
7	193	11879
8	216	11831
9	239	11734
10	262	11671
11	285	11603
12	308	11575
13	334	11626
14	359	11633
15	385	11649
16	407	11586
17	432	11578
18	452	11450
19	474	11388
20	497	11343
21	524	11389
22	550	11425
23	573	11366
24	596	11341
25	621	11337
26	644	11296
27	669	11287
28	696	11308
29	721	11305
30	747	11305
31	773	11309
32	797	11286
33	823	11281
34	850	11305
35	872	11251
36	896	11223
37	923	11233
38	950	11239
39	976	11231
40	1003	11231
41	1031	11248
42	1054	11210
43	1079	11190
44	1103	11159
45	1128	11139
46	1154	11125
47	1177	11090
48	1201	11057
49	1226	11038
50	1254	11042
51	1278	11016
52	1303	10997
53	1331	10999
54	1353	10954
55	1379	10939
56	1403	10904
57	1428	10889
58	1452	10859
59	1476	10824
60	1502	10813
61	1527	10789
62	1550	10754
63	1574	10726
64	1598	10695
65	1623	10676
66	1650	10664
67	1672	10628
68	1698	10609
69	1721	10572
70	1749	10573
71	1773	10544
72	1799	10523
73	1825	10509
74	1853	10502
75	1876	10466
76	1901	10447
77	1926	10421
78	1951	10397
79	1974	10365
80	2001	10353
81	2030	10348
82	2055	10327
83	2081	10307
84	2105	10280
85	2128	10247
86	2156	10237
87	2181	10215
88	2206	10191
89	2234	10177
90	2261	10162
91	2287	10146
92	2312	10121
93	2336	10091
94	2357	10051
95	2380	10018
96	2403	9984
97	2433	9982
98	2459	9960
99	2487	9948
100	2512	9923
101	2540	9911
102	2566	9890
103	2593	9876
104	2617	9848
105	2644	9830
106	2670	9807
107	2696	9786
108	2720	9759
109	2748	9744
110	2772	9716
111	2803	9712
112	2829	9691
113	2852	9657
114	2878	9638
115	2904	9614
116	2928	9587
117	2956	9569
118	2978	9534
119	3001	9505
120	3030	9492
121	3054	9464
122	3082	9448
123	3107	9422
124	3130	9390
125	3156	9368
126	3183	9349
127	3207	9322
128	3233	9300
129	3259	9277
130	3286	9256
131	3310	9230
132	3335	9202
133	3361	9181
134	3388	9162
135	3413	9135
136	3443	9123
137	3467	9095
138	3487	9058
139	3515	9039
140	3540	9014
141	3562	8981
142	3588	8957
143	3613	8933
144	3641	8915
145	3668	8893
146	3692	8867
147	3720	8849
148	3745	8823
149	3764	8784
150	3789	8757
151	3812	8728
152	3842	8713
153	3874	8704
154	3899	8678
155	3923	8650
156	3947	8624
157	3970	8593
158	3993	8564
159	4017	8537
160	4040	8508
161	4066	8483
162	4091	8458
163	4118	8438
164	4147	8421
165	4174	8398
166	4199	8372
167	4228	8356
168	4258	8339
169	4282	8312
170	4308	8289
171	4335	8268
172	4359	8239
173	4385	8216
174	4408	8187
175	4434	8163
176	4459	8137
177	4483	8111
178	4510	8089
179	4537	8065
180	4561	8039
181	4587	8016
182	4616	7997
183	4649	7985
184	4678	7965
185	4702	7939
186	4729	7915
187	4756	7893
188	4777	7861
189	4804	7838
190	4829	7812
191	4850	7780
192	4876	7756
193	4901	7730
194	4925	7703
195	4951	7679
196	4976	7654
197	5002	7629
198	5026	7603
199	5053	7580
200	5077	7552
201	5102	7527
202	5126	7500
203	5150	7473
204	5175	7447
205	5200	7421
206	5225	7396
207	5248	7367
208	5276	7346
209	5304	7324
210	5331	7302
211	5358	7279
212	5384	7254
213	5410	7230
214	5436	7205
215	5462	7181
216	5485	7153
217	5512	7130
218	5538	7106
219	5564	7082
220	5589	7057
221	5613	7029
222	5637	7002
223	5663	6977
224	5688	6952
225	5716	6930
226	5738	6900
227	5763	6875
228	5789	6851
229	5811	6822
230	5835	6795
231	5862	6771
232	5883	6741
233	5913	6722
234	5936	6694
235	5961	6669
236	5990	6647
237	6016	6623
238	6038	6594
239	6061	6566
240	6085	6539
241	6110	6514
242	6137	6491
243	6161	6465
244	6187	6439
245	6210	6412
246	6232	6383
247	6257	6358
248	6286	6337
249	6312	6312
250	6335	6285
251	6361	6260
252	6388	6237
253	6414	6212
254	6440	6188
255	6464	6161
256	6488	6135
257	6515	6111
258	6535	6081
259	6559	6054
260	6585	6030
261	6610	6005
262	6634	5978
263	6658	5952
264	6682	5926
265	6709	5902
266	6730	5873
267	6754	5847
268	6783	5824
269	6810	5801
270	6833	5774
271	6858	5749
272	6884	5724
273	6910	5699
274	6932	5671
275	6954	5643
276	6976	5616
277	7000	5590
278	7026	5565
279	7053	5542
280	7086	5522
281	7109	5496
282	7136	5471
283	7162	5447
284	7188	5422
285	7212	5396
286	7239	5372
287	7261	5345
288	7290	5322
289	7312	5295
290	7337	5270
291	7364	5246
292	7390	5221
293	7415	5196
294	7441	5171
295	7469	5148
296	7493	5122
297	7521	5098
298	7545	5072
299	7570	5046
300	7597	5022
301	7624	4998
302	7649	4973
303	7673	4947
304	7698	4922
305	7724	4897
306	7751	4872
307	7773	4845
308	7797	4820
309	7825	4796
310	7850	4771
311	7875	4745
312	7901	4720
313	7926	4695
314	7950	4669
315	7975	4644
316	7998	4617
317	8021	4590
318	8047	4565
319	8073	4541
320	8095	4514
321	8119	4488
322	8144	4463
323	8174	4440
324	8200	4415
325	8225	4390
326	8247	4363
327	8273	4338
328	8298	4313
329	8319	4285
330	8345	4260
331	8372	4236
332	8396	4211
333	8423	4186
334	8450	4162
335	8475	4137
336	8502	4112
337	8528	4087
338	8556	4063
339	8579	4037
340	8602	4011
341	8629	3986
342	8653	3960
343	8677	3935
344	8702	3909
345	8725	3883
346	8750	3858
347	8773	3832
348	8798	3806
349	8823	3781
350	8848	3756
351	8876	3732
352	8901	3706
353	8924	3680
354	8948	3654
355	8972	3629
356	8997	3603
357	9022	3578
358	9047	3553
359	9069	3526
360	9093	3501
361	9119	3476
362	9142	3450
363	9167	3425
364	9193	3400
365	9220	3375
366	9244	3350
367	9270	3325
368	9297	3300
369	9320	3274
370	9342	3248
371	9368	3223
372	9395	3198
373	9418	3173
374	9443	3147
375	9468	3122
376	9492	3096
377	9520	3072
378	9546	3047
379	9570	3022
380	9597	2997
381	9624	2972
382	9651	2948
383	9675	2922
384	9700	2897
385	9725	2872
386	9749	2846
387	9773	2821
388	9797	2795
389	9820	2769
390	9849	2745
391	9876	2721
392	9901	2695
393	9922	2669
394	9951	2645
395	9976	2619
396	10000	2594
397	10026	2569
398	10051	2544
399	10078	2519
400	10104	2494
401	10129	2469
402	10153	2443
403	10179	2418
404	10206	2394
405	10231	2368
406	10256	2343
407	10279	2317
408	10302	2292
409	10330	2267
410	10356	2242
